frame_idx,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
0,0.17236491640743284,0.09158373219801984,-0.21926452166987706,0.9582106777258846,0.04106116088636785,0.28310118007306984,-0.029812913227265453,0.9985897453451008,-0.0439284725037226,-0.2845056893930321,0.03365266049320004,0.9580835094837636,801.0,0.0,0.0
1,0.1731818905065238,0.0916053450055126,-0.22037797276866933,0.9591046040428466,0.04128960630283236,0.2800241541638355,-0.03011936546140355,0.9985739289208285,-0.0440787057866109,-0.28144481222438056,0.033841939822907605,0.9589804694471133,801.0,0.0,0.0
2,0.173918598473023,0.0915934996199241,-0.221268598473023,0.9598438489360532,0.041483306182050095,0.27745075413094344,-0.030382778321476855,0.9985609759524186,-0.04419122182539526,-0.27888469380927117,0.03398694768818728,0.9597229886512824,801.0,0.0,0.0
3,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
4,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
5,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
6,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
7,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
8,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
9,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
10,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
11,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
12,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
13,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
14,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
15,0.174058,0.09159,-0.221408,0.9599571004340829,0.04147007292719314,0.2770606402533592,-0.030384930077547723,0.9985611459143631,-0.04418590153404761,-0.2784943829781322,0.03399810173535131,0.9598359275042908,801.0,0.0,0.0
16,0.17402384099347118,0.09160419595076522,-0.22135476518463043,0.9599192355125168,0.04162095491924805,0.27716918552515035,-0.03053039009938991,0.9985555661843266,-0.04421172381482088,-0.27860896714471406,0.03397760076740038,0.959803399698421,801.0,0.0,0.0
17,0.1741683028855808,0.09145354161205385,-0.22109270247905904,0.9598377469319666,0.04111568752482942,0.2775265749508087,-0.02997284098826792,0.998569602125351,-0.04427616191936935,-0.278950046366116,0.034179671598463204,0.9596971510230521,801.0,0.0,0.0
18,0.17550403548107915,0.09106266303165239,-0.2211754793461479,0.9599581427850534,0.039144345250132426,0.2773951772032264,-0.02801076102242749,0.9986393222112913,-0.0439875141411422,-0.278739594187147,0.034456122363248645,0.9597484119622566,801.0,0.0,0.0
19,0.17718570907823797,0.09075113641244568,-0.22157661345278096,0.9602464992382769,0.037384617491104145,0.2766388459267386,-0.02634241126749811,0.9987049419285079,-0.04352604204599459,-0.27790778698922414,0.034508395248396155,0.959987725227845,801.0,0.0,0.0
20,0.17870112068773064,0.09063213404412679,-0.2220368499436745,0.9605783873663167,0.03634745528047827,0.2756229747669086,-0.025439310632658488,0.9987489927095604,-0.04304986685430754,-0.27684292152638007,0.03434111320665261,0.9603013510062696,801.0,0.0,0.0
21,0.1800583062585005,0.09076025692525483,-0.22251855180129676,0.9610213093328722,0.03583388624333194,0.27414225432215283,-0.025123341151274563,0.998781300193742,-0.042482138749065916,-0.27533045733723077,0.033938871224573154,0.9607503797982456,801.0,0.0,0.0
22,0.18115608326362254,0.09119365587239467,-0.22274999507148235,0.9615932746159461,0.03579843643712679,0.2721338754400832,-0.02533819583067192,0.998802295028974,-0.04185631704893371,-0.2733063300500525,0.033353371546386915,0.9613486373637092,801.0,0.0,0.0
23,0.18213325900499716,0.09182199755012804,-0.22276588842263728,0.9620354078347961,0.035846428148908496,0.2705603586283525,-0.025656068146898418,0.9988252476422432,-0.04110828188641802,-0.27171610228210485,0.032606107731169634,0.9618249328746079,801.0,0.0,0.0
24,0.18305244994488015,0.09273355227307116,-0.2227418666851496,0.9622622369640841,0.035551673593714486,0.2697915228793575,-0.02563978365473232,0.9988636095131075,-0.040175752445782024,-0.2709132495966474,0.031742213141685995,0.9620802685316088,801.0,0.0,0.0
25,0.18373962396856938,0.09390451225427127,-0.2220409199505581,0.9617215685313667,0.03351057738159176,0.27197181071780246,-0.02355294310568811,0.9989302016237558,-0.039795868566760435,-0.2730144382493865,0.03186680855490558,0.9614819930814601,801.0,0.0,0.0
26,0.183694118821562,0.09520085534899014,-0.2198851562303173,0.9596861736550958,0.030076745682577212,0.27945990314244906,-0.020142162048428697,0.9990611981798215,-0.03835382118530426,-0.2803511038024574,0.031178705243243,0.9593910292138961,801.0,0.0,0.0
27,0.1835882941577207,0.09651592461276093,-0.21769288984389035,0.9575726166113446,0.027873959632229772,0.2868409424934377,-0.018144318856184373,0.9991680840686042,-0.036522917078454675,-0.287620353259897,0.02976881175148563,0.9572817507074689,801.0,0.0,0.0
28,0.18350635570246837,0.09800376445300668,-0.21524900586027287,0.9551495186095602,0.025673028546791203,0.2950089705503225,-0.016319929469315556,0.9992843736414652,-0.034123313117299936,-0.295673903146764,0.02777834050515567,0.9548849704528487,801.0,0.0,0.0
29,0.183626668526996,0.09992697551492556,-0.21270185900478586,0.9524578213566776,0.02375407871574292,0.3037430530577736,-0.015102656948075869,0.9994114446060288,-0.030800554274223547,-0.3042959222362336,0.024748901689912305,0.9522559968703496,801.0,0.0,0.0
30,0.1840206767780418,0.10252322956235171,-0.21062259893999882,0.9500302492582382,0.024152440292868685,0.31122208328174467,-0.01693796496401956,0.999521976155403,-0.025863575260890972,-0.31169798016221956,0.019299710109158087,0.9499852053334805,801.0,0.0,0.0
31,0.18431814709879613,0.10495105899378249,-0.2091162342266991,0.9482139042415771,0.024834969402921535,0.31666009552468255,-0.019078790388175927,0.9995917976174462,-0.02126588566804985,-0.3170589717391217,0.014123116889641366,0.9483006622422302,801.0,0.0,0.0
32,0.18444187857732866,0.10756235728312474,-0.20752266485545842,0.9463113533948425,0.02632397502655762,0.32218297716487543,-0.022308172166961845,0.9996206765985971,-0.016150800943981632,-0.3224859189028114,0.008096372975851581,0.9465396351204979,801.0,0.0,0.0
33,0.18434686306971157,0.11037451488270021,-0.20586935762965303,0.9443645271921438,0.028849150189938978,0.32763297501087557,-0.026813595176562392,0.9995828684494913,-0.01072940893033375,-0.32780584328969203,0.0013474552331114,0.9447441523870517,801.0,0.0,0.0
34,0.18404804578791006,0.11363663985470018,-0.20415036368328277,0.9423985078901209,0.03250239636042152,0.3329093668812938,-0.032783233582315406,0.9994510782190259,-0.004775127507616594,-0.3328818287656464,-0.00641377249804724,0.9429467384746512,801.0,0.0,0.0
35,0.18426727911769272,0.11703062801159553,-0.20201788748199473,0.9409689517874913,0.03381265289159155,0.3367998460159723,-0.03665002694963461,0.9993260212736081,0.002068509137288012,-0.3365029083032433,-0.01429012630779492,0.9415739933715068,801.0,0.0,0.0
36,0.18502736426280453,0.12055106418790201,-0.19981593220342395,0.9405366240751659,0.03637773555370453,0.33773883272326677,-0.04175622582464154,0.9990901995753146,0.008671258123224345,-0.33711611705489786,-0.022258334810645344,0.9411999203959197,801.0,0.0,0.0
37,0.18600362456854172,0.12399244854289064,-0.19792635591682473,0.9407949035705931,0.0384231588564857,0.3367916422346132,-0.04612179885562043,0.9988249177592808,0.01488500364418896,-0.33582395549740063,-0.029537171947481587,0.9414615373914246,801.0,0.0,0.0
38,0.18689860835867944,0.12718839017802383,-0.1962822842312339,0.9412866504365939,0.03928630830036913,0.3353148187748135,-0.04905971865293892,0.9985808452262435,0.02072292336847689,-0.33402482799269895,-0.03595666179402138,0.9418781942252821,801.0,0.0,0.0
39,0.1872518174789006,0.13007401230961632,-0.19473178446503928,0.941387767430237,0.03811900209148209,0.3351656501079183,-0.0498577047416364,0.9984050762193538,0.026486091771381733,-0.33362146305447704,-0.041644272823232624,0.9417868516444761,801.0,0.0,0.0
40,0.18692622021361993,0.13326167727835436,-0.19311721325459652,0.9406563655131694,0.03654361289777663,0.3373872646913811,-0.05070178952072025,0.9981603436655535,0.03324540378549529,-0.33555168090616255,-0.04837863877623569,0.9407787076412855,801.0,0.0,0.0
41,0.18645406816010585,0.1362228041269681,-0.19150307271956818,0.9397549310805657,0.03445975512177215,0.3401076223590242,-0.050950914477835695,0.9979127976685723,0.03967433128806703,-0.3380305811958933,-0.05461294284535965,0.9395492284335804,801.0,0.0,0.0
42,0.18572521203536174,0.13882495782734508,-0.1899303118886953,0.9386320980569212,0.03157248481987744,0.3434719241794895,-0.05026773227482746,0.9976914443861323,0.04566110917026933,-0.3412373654645819,-0.06012453742867044,0.9380522908717721,801.0,0.0,0.0
43,0.1844391184577478,0.14288057692323286,-0.18804353225900639,0.9370513693168583,0.02984747309668563,0.34791358066500305,-0.05166571648775577,0.9972249009081822,0.053601779340550056,-0.345348208336467,-0.0682028251497605,0.9359930499957697,801.0,0.0,0.0
44,0.18252017285761957,0.14885880886137615,-0.18579371622039945,0.9350410803129604,0.02965061064552171,0.3532973526868262,-0.055240606594055996,0.9965107775348917,0.06256792820548199,-0.3502094423488504,-0.07801994325269204,0.9334164316876761,801.0,0.0,0.0
45,0.18053839772768804,0.15509666354462884,-0.18415230035538144,0.9334655235435593,0.02899123646838014,0.3574935307996262,-0.056706990044952305,0.9961207549054827,0.06728862405022792,-0.35415594536247796,-0.083083992769761,0.9314883877482552,801.0,0.0,0.0
46,0.17863242750000097,0.1606151622208845,-0.1828030884500931,0.9320525925338266,0.028592148479038692,0.3611930976587527,-0.05740014626042618,0.9959444702112007,0.06928084486358813,-0.3577473800885959,-0.08530592770190995,0.9299138189846746,801.0,0.0,0.0
47,0.17625424647991347,0.1673995005573499,-0.18146582996818522,0.9305138199137053,0.028159860183360114,0.36517263482366547,-0.057492811634203236,0.9959097553993017,0.0697017626096865,-0.3617161975361327,-0.08585325488854034,0.9283267803230955,801.0,0.0,0.0
48,0.17353120833074995,0.17509917985173715,-0.18027406627118708,0.9289452531338811,0.027575402578594442,0.36918872389694957,-0.056503248659621357,0.9960995775698174,0.06777178215260694,-0.3658798977409644,-0.08381663759576534,0.9268800740609335,801.0,0.0,0.0
49,0.17125020540495164,0.18153598405171584,-0.17930176217301116,0.9275373303640968,0.026827093595639652,0.37276642529908066,-0.054379841524537974,0.9964930642441293,0.06359564253242328,-0.36975307113911904,-0.07925831163074581,0.9257433696336329,801.0,0.0,0.0
50,0.16846378627566405,0.18970413311594037,-0.1781977964341615,0.9259075225663,0.025362147426492333,0.3768978921844131,-0.05033374756595749,0.9971299676988555,0.05655388026338985,-0.3743818552108303,-0.07133434652953817,0.9245267099949577,801.0,0.0,0.0
51,0.16647388887498224,0.19698262479191736,-0.17729814247495207,0.9254781302049188,0.02394357782700001,0.37804356308929504,-0.046014478669485,0.9977157789300597,0.04945596249957866,-0.3759958753300133,-0.0631658891715031,0.9244658848113274,801.0,0.0,0.0
52,0.16539224515593115,0.20460522933347575,-0.17629036445816884,0.9264359307257168,0.022945740608864944,0.37575252394133746,-0.04136259660903526,0.9983018437234894,0.04101907385643918,-0.3741732244056661,-0.053543643938309564,0.9258117931478701,801.0,0.0,0.0
53,0.16590486128238635,0.21194346047138998,-0.17512067757704866,0.9294583730549248,0.022172670349975686,0.36826010569656276,-0.036337469823447564,0.9988406843378203,0.03157333682690005,-0.36713311079896116,-0.042727742756974114,0.9291865361454457,801.0,0.0,0.0
